ID,Name,Screen_Name,User_Location
260583587,Greg Talbott,GregTalbott,"Savannah, GA"
151565098,Derrick Osei Asamoah,DOAsamoah,Ghana
140124838,Carolina Woman,carolina_woman,"Raleigh, Durham, Chapel Hill"
335129021,Rika,PoshJournalBlog,United States
142909393,Joshua Robbin Marks,TheHockeyStop1,"San Diego, CA"
526914615,Brandi White,Brandibchillin,Winnipeg
8303822,Daniel Bowen,danielbowen,"Melbourne, Victoria, AU"
322235869,shambernica,Hi_Its_DollFace,"Mississippi, USA"
514521528,Barrie Phillips,PhillipsBarrie, U.K.
609233078,Ken Kraetzer,KenKraetzer,"Harrison, NY"
2837649117,Callister Brewing,callisterbeer,"1338 Franklin St., Vancouver"
63767149,Sid M. Karim,Siddiiqa,"Buffalo, NY"
400940421,Coach Colbert,SVTrackandField,Seneca Valley High School 
192767074,P 1 N K R A I N,p1nkrain,Nueva York
2411283568,4CG 2010,4cg2010,"Aberteifi/Cardigan, Wales"
2510953663,T.U Chutney Company,Afterburn3,Grange Moor 
172657411,Justice,JDaQue2,"Memphis, TN"
52673434,Judah Matthew,JudahMatthew,The Holy Land
770202860,UHV Student Life,UHVStudentLife,"Victoria, TX"
36790993,Dub,ericwashington_,256
34743161,BCRI,bhamcivilrights,"Birmingham, AL"
17945777,Kinell votes Labour innit,Colak,"Chester, England"
447331323,HeaPenni,Heapenni,Ohio
592914263,Alicia Mpande,mmmpande,HTX
278930748,Roland Turner,RTProductions1,"Leyland, Lancashire."
15023803,Safaraz Ali (Saf),SafarazAli,"Birmingham, UK"
241941306,Woye,woye1,Nigeria
4162053030,CapGold,Capita1Go1d,"San antonio, TX"
264372977,Maricopa County Sheriff's Office,mcsoaz,Maricopa County Arizona
244765072,judith,raquelsouzv,rj 
465050633,jordan,Bower71,"Edon, Ohio"
330077433,Melissa Ashley,mashley74,"cibolo, tx"
153998882,Jacqueline,JackieMJensen,"Lisbon, Portugal"
1622749974,Queen Of The Lens,daraz_O,"Lagos, Nigeria"
80857660,Prince of Zamunda,seunomis,Investing
78774214,Dandy Wartrol,andywartrol,in a factory
788091168,Liz Breadon,Liz4AB,Allston-Brighton
2415800137,Blue Thunder,WZThunder,Parts Unknown
415165709,MC Ryde,Schilling_Spree,Guardian - Slayer BRs
601689898,lightning949 @ Hawaii [Flying currently],lightning949,Ardora
4064251217,BallStreet Trading,BallStreetApp,"New York, NY"
3268110090,Mustafa Magdi Gusti,GustiMagdi,Kingdom of Saudi Arabia
2202362960,Kaitlyn,CheungKaitlyn,"Clarksville, TN"
469097703,Jenny Cameron,JennyMayCameron,"Wellington City, New Zealand"
17795826,gabrielski,gabrielski,NJ | NY| PA
1435492410,Todd J. LeDuc,ToddJLeDuc,"Florida, USA"
404334121,Cary Moy,UTZAAKE,Casa di Randi
2575178924,Krystal Tsosie,kstsosie,"Phoenix, AZ"
3307855736,Shaneia Smith,sssmith0903,Garland ISD
348865131,josh,joshoepner,United States
3027728612,CABQ Economic Development,CABQEconDev,Albuquerque
19456669,Ratify the ERA and also #SaveLodge49 | Phil,ALazyJellyfish,"Sacramento, California"
120796379,Hestercombe,HestercombeGdns,TA28LG
2785018632,Charlie Cobb,CCobbGaStateAD,"Atlanta, Ga."
212653721,Roger Davies FBPE,4589roger,Wales
519964150,les,Talon1ewo,"Mary Esther, Fl"
3044199577,SUA Graduate School,Soka_GraduateMA,"Aliso Viejo, CA"
28397634,Eric Marrapodi,EricMarrapodi,Mostly DC
1707632442,Prof. Louise Chappell,chappell_louise,"Sydney, Australia"
2837581897,TexasBlue,Tex2Blue,USA
38485752,South Park,SouthParkSD,"San Diego, CA"
261320586,Reverend Doktor Doctor Phill,RevDrDrPhill,San Pedro
1172619601,Peter Sansome,sammy_sansome,United Kingdom
35694375,GavMacgregor-Skinner,GavinMacSkin,"Washington, DC"
100887062,Anthony Bazzo,Bazzomanifesto,Westchester
3304512693,People vs. Politicians prepare for the sh*t storm!,CakemanTwit,"Ham, England"
36921364,Chris Baillie,ChrisGBaillie,Leeds
307263513,What's On Somerset,Giles_Adams,Taunton
228581274,Penny Longstocking #StandUp4Brexit,pennylongstckng,"London, England"
1529189971,Scarves,Scarvesmusic,"Brooklyn, NY"
18911627,Joe Silvaggio,JoeSilvaggioAct,"Toronto, ON, Canada"
225906418,M X V I C E,motocrossvice,Bath UK
232127778,DJ Birkin,DJBirkin1,"Houston, TX"
134174609,Tom Pagano,tompagano,"Kansas, USA"
35966513,TooSaucyNYC,JayStar730,Bronx New York
315487445,DaiSho Sushi & Ramen,DaiSho_sushi,"cali, colombia"
160353367,Maria Paphiti,MariaPaphiti,"London, UK"
14967172,Current Initiatives,engagecurrent,"Tampa, FL"
611197670,Shane Schillerberg,schillerberg,"Omaha, NE"
2981143626,TheDroningPool,TheDroningPool,Texas
