Date,Tweet_Text,Source,User_ID,Lat,Lng
Fri Dec 06 08:36:17 +0000 201,RT @hammernocar: \u88fe\u91ce\u5e02\u306e\u5929\u6c17\u4e88\u5831\u3002\n\u5348\u524d40\uff05\u5348\u5f8c40\uff05\u306b\u306a\u308a\u5c11\u3057\u56de\u5fa9\u50be\u5411\u3067\u3059\uff01\n\u304c\u3057\u304b\u3057\u3001\u672c\u65e5\u3082\u5e1d\u4eba\u30a2\u30ab\u30c7\u30df\u30fc\u69d8\u3088\u308a\u829d\u751f\u5e83\u5834\u306e\u72b6\u614b\u306b\u3064\u3044\u3066\u9023\u7d61\u304c\u3042\u308a\u3001\u53b3\u3057\u3044\u72b6\u6cc1\u3068\u306e\u3053\u3068\u3002\n\u5f53\u65e5\u306f\u6674\u308c\u4e88\u60f3\u306a\u306e\u3067\u3001\u3053\u306e\u307e\u307e\u4e88\u5831\u304c\u5909\u308f\u3089\u306a\u3051\u308c\u3070\u3001\u30a4\u30d9\u30f3\u30c8\u306f\u958b\u50ac\u3057\u307e\u3059\uff01\u4eca\u591c23\u6642\u306b\u2026,"\u003ca href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow""\u003eTweetDeck\u003c/a\u003e",85454833.0,139.53087,35.401841
Fri Dec 06 08:36:23 +0000 201,"RT @getnorthern: Tory voter, and those as yet undecided; ask yourself this: Why is Johnson avoiding interviews? Why is Rees-Mogg sneaking\u2026""","\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",141723265.0,-2.195693,53.187959
Fri Dec 06 08:36:24 +0000 201,RT @SanA_PARCO_CITY: \u30db\u30f3\u30c8\u3001\u8c6a\u83ef\u666f\u54c1\u304c\u305f\u304f\u3055\u3093\u5f53\u305f\u308b\u3093\u3067\u7686\u3055\u3093\u3069\u3057\u3069\u3057\u3054\u53c2\u52a0\u304f\u3060\u3055\u3044\u306d\ud83c\udf8a\n#\u62bd\u9078\u4f1a\n\n\u30cf\u30c3\u30d4\u30fc\u30af\u30ea\u30b9\u30de\u30b9\u5927\u62bd\u9078\u4f1a\uff01\uff01 | \u30cb\u30e5\u30fc\u30b9\u30fb\u30a4\u30d9\u30f3\u30c8 | PARCO CITY - \u30d1\u30eb\u30b3\u30b7\u30c6\u30a3 https://t.co/vEBpZmpXQJ,"\u003ca href=""https://mobile.twitter.com"" rel=""nofollow""\u003eTwitter Web App\u003c/a\u003e",7.88e+17,127.710857,26.25399
Fri Dec 06 08:36:29 +0000 201,RT @naokoamigo1: \u306a\u308a\u305f\u3044\u592b\u5a66\u30ca\u30f3\u30d0\u30fc\u30ef\u30f3\n\n\u30bf\u30d3\u30ef\u30e9\u30a4\u30d5\u3055\u3093\u3068\u5927\u962a\u3067\u30c8\u30fc\u30af&amp;\u3054\u98ef\u30a4\u30d9\u30f3\u30c8\u3092\u3059\u308b\u3053\u3068\u306b\n\nYoutube\u3067\u4f1a\u3048\u308b\u3051\u3069\u3001\u4e2d\u3005\u5b9f\u969b\u306b\u4f1a\u3063\u3066\u8a71\u3092\u805e\u3051\u308b\u306e\u3063\u3066\u8cb4\u91cd\n\n\u79c1\u306f\u3054\u98ef\u3067\u307f\u3093\u306a\u304c\u65c5\u3057\u305f\u3088\u3046\u306a\u6c17\u5206\u306b\u306a\u308c\u308b\u3088\u3046\u306b\u76db\u308a\u4e0a\u3052\u307e\u3059\n\n\u3060\u3044\u3061\u3055\u3093\u304c\u30d0\u30ca\u30fc\u307e\u3067\u4f5c\u2026,"\u003ca href=""https://mobile.twitter.com"" rel=""nofollow""\u003eTwitter Web App\u003c/a\u003e",1.06e+18,138.86247,35.288426
Fri Dec 06 08:36:30 +0000 201,"RT @getnorthern: Tory voter, and those as yet undecided; ask yourself this: Why is Johnson avoiding interviews? Why is Rees-Mogg sneaking\u2026""","\u003ca href=""http://twitter.com/#!/download/ipad"" rel=""nofollow""\u003eTwitter for iPad\u003c/a\u003e",899385314.0,-2.195693,53.187959
Fri Dec 06 08:36:35 +0000 201,RT @barbarosansalfn: Ayakkab\u0131lar\u0131n\u0131 m\u0131 \u00e7alm\u0131\u015flar ? \u0130slamda h\u0131rs\u0131zl\u0131k olmaz! https://t.co/2o8uR456Bw,"\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",409567576.0,29.005223,41.021321
Fri Dec 06 08:36:36 +0000 201,RT @KingCharlesIRTN: Return to Chester tomorrow\nAppearing in \u2744\u2744\u2744\nMid Winter watch Parade\nBeginning 7pm\u2744\u2744\u2744\n\n#KingCharlesI #CharlesI #Chester\u2026,"\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",3440274915.0,-3.446868,55.012153000000005
Fri Dec 06 08:36:44 +0000 201,"@KillMeNeko That is how instore events generally work. Not that kpop fans wouldn't multi buy even if no bonuses or events.,display_text_range:[12,122]","\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",52694142.0,139.634515,35.636514
Fri Dec 06 08:36:49 +0000 201,Gebzeyi ge\u00e7erken dikkat etsin... \nAyakkab\u0131 yer de\u011fi\u015ftirmi\u015ftir.,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",81431121.0,29.005223,41.021321
Fri Dec 06 08:36:50 +0000 201,"RT @getnorthern: Tory voter, and those as yet undecided; ask yourself this: Why is Johnson avoiding interviews? Why is Rees-Mogg sneaking\u2026""","\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",123228201.0,-2.195693,53.187959
